,artist,region,n,date,Rank
27499,Myke Towers,Dominican Republic,5,2021-07,10
27500,Linkin Park,Ecuador,13,2017-07,1
27501,Ed Sheeran,Ecuador,7,2017-07,2
27502,Nicky Jam,Ecuador,4,2017-07,3
27503,Maluma,Ecuador,4,2017-07,4
27504,Major Lazer,Ecuador,4,2017-07,5
27505,Reik,Ecuador,4,2017-07,6
27506,Manuel Medrano,Ecuador,4,2017-07,7
27507,Ozuna,Ecuador,4,2017-07,8
27508,Shakira,Ecuador,3,2017-07,9
27509,Bad Bunny,Ecuador,3,2017-07,10
27510,BTS,Ecuador,9,2017-09,1
27511,Yandel,Ecuador,6,2017-09,2
27512,Ozuna,Ecuador,5,2017-09,3
27513,Nicky Jam,Ecuador,4,2017-09,4
27514,Morat,Ecuador,4,2017-09,5
27515,Ed Sheeran,Ecuador,4,2017-09,6
27516,Manuel Medrano,Ecuador,4,2017-09,7
27517,Bad Bunny,Ecuador,3,2017-09,8
27518,Major Lazer,Ecuador,3,2017-09,9
27519,Shakira,Ecuador,3,2017-09,10
27520,BTS,Ecuador,9,2018-08,1
27521,Maluma,Ecuador,6,2018-08,2
27522,Luis Miguel,Ecuador,6,2018-08,3
27523,Piso 21,Ecuador,5,2018-08,4
27524,Ariana Grande,Ecuador,5,2018-08,5
27525,Ozuna,Ecuador,5,2018-08,6
27526,Morat,Ecuador,5,2018-08,7
27527,Bacilos,Ecuador,4,2018-08,8
27528,Ed Sheeran,Ecuador,4,2018-08,9
27529,XXXTENTACION,Ecuador,4,2018-08,10
27530,Myke Towers,Ecuador,5,2020-01,1
27531,Don Medardo y Sus Players,Ecuador,4,2020-01,2
27532,Piso 21,Ecuador,3,2020-01,3
27533,Maluma,Ecuador,3,2020-01,4
27534,Danny Ocean,Ecuador,3,2020-01,5
27535,Selena Gomez,Ecuador,3,2020-01,6
27536,Paulo Londra,Ecuador,3,2020-01,7
27537,Bad Bunny,Ecuador,3,2020-01,8
27538,Billie Eilish,Ecuador,3,2020-01,9
27539,Reik,Ecuador,2,2020-01,10
27540,BTS,Ecuador,11,2021-05,1
27541,Olivia Rodrigo,Ecuador,11,2021-05,2
27542,Bad Bunny,Ecuador,10,2021-05,3
27543,Camilo,Ecuador,6,2021-05,4
27544,Christian Nodal,Ecuador,4,2021-05,5
27545,Dua Lipa,Ecuador,4,2021-05,6
27546,Luis Miguel,Ecuador,4,2021-05,7
27547,Maluma,Ecuador,4,2021-05,8
27548,J Balvin,Ecuador,3,2021-05,9
27549,Sech,Ecuador,3,2021-05,10
27550,Bad Bunny,Ecuador,12,2021-06,1
27551,Olivia Rodrigo,Ecuador,10,2021-06,2
27552,BTS,Ecuador,5,2021-06,3
27553,Rauw Alejandro,Ecuador,5,2021-06,4
27554,Christian Nodal,Ecuador,4,2021-06,5
27555,Camilo,Ecuador,4,2021-06,6
27556,Dua Lipa,Ecuador,4,2021-06,7
27557,J Balvin,Ecuador,3,2021-06,8
27558,Paulo Londra,Ecuador,3,2021-06,9
27559,Boza,Ecuador,3,2021-06,10
27560,Bad Bunny,Ecuador,13,2021-08,1
27561,Olivia Rodrigo,Ecuador,7,2021-08,2
27562,Feid,Ecuador,6,2021-08,3
27563,Rauw Alejandro,Ecuador,5,2021-08,4
27564,Doja Cat,Ecuador,4,2021-08,5
27565,BTS,Ecuador,4,2021-08,6
27566,KAROL G,Ecuador,4,2021-08,7
27567,Kanye West,Ecuador,4,2021-08,8
27568,The Weeknd,Ecuador,4,2021-08,9
27569,Maluma,Ecuador,3,2021-08,10
27570,Wegz,Egypt,17,2021-03,1
27571,Marwan Moussa,Egypt,11,2021-03,2
27572,Marwan Pablo,Egypt,11,2021-03,3
27573,Lege-Cy,Egypt,10,2021-03,4
27574,Abyusif,Egypt,9,2021-03,5
27575,XXXTENTACION,Egypt,7,2021-03,6
27576,Mohamed Hamaki,Egypt,6,2021-03,7
27577,Amr Diab,Egypt,6,2021-03,8
27578,Hamza Namira,Egypt,5,2021-03,9
27579,Abo El Anwar,Egypt,4,2021-03,10
27580,Ed Sheeran,El Salvador,7,2017-04,1
27581,Ozuna,El Salvador,4,2017-04,2
27582,The Chainsmokers,El Salvador,4,2017-04,3
27583,Twenty One Pilots,El Salvador,3,2017-04,4
27584,CNCO,El Salvador,3,2017-04,5
27585,Nicky Jam,El Salvador,3,2017-04,6
27586,Maluma,El Salvador,3,2017-04,7
27587,Clean Bandit,El Salvador,2,2017-04,8
27588,Shawn Mendes,El Salvador,2,2017-04,9
27589,Major Lazer,El Salvador,2,2017-04,10
27590,Morat,El Salvador,11,2018-10,1
27591,Twenty One Pilots,El Salvador,5,2018-10,2
27592,XXXTENTACION,El Salvador,5,2018-10,3
27593,Bad Bunny,El Salvador,4,2018-10,4
27594,Ozuna,El Salvador,4,2018-10,5
27595,Ed Sheeran,El Salvador,4,2018-10,6
27596,Danny Ocean,El Salvador,3,2018-10,7
27597,Post Malone,El Salvador,3,2018-10,8
27598,Zion & Lennox,El Salvador,3,2018-10,9
27599,Manuel Turizo,El Salvador,3,2018-10,10
27600,Bad Bunny,El Salvador,15,2018-12,1
27601,La Sonora Dinamita,El Salvador,12,2018-12,2
27602,XXXTENTACION,El Salvador,7,2018-12,3
27603,Aniceto Molina,El Salvador,7,2018-12,4
27604,Los Hermanos Flores,El Salvador,7,2018-12,5
27605,Queen,El Salvador,7,2018-12,6
27606,Ariana Grande,El Salvador,5,2018-12,7
27607,Banda MS de Sergio Lizárraga,El Salvador,5,2018-12,8
27608,Manuel Turizo,El Salvador,4,2018-12,9
27609,Ed Sheeran,El Salvador,4,2018-12,10
27610,José José,El Salvador,12,2019-09,1
27611,Post Malone,El Salvador,9,2019-09,2
27612,Bad Bunny,El Salvador,7,2019-09,3
27613,Camilo Sesto,El Salvador,7,2019-09,4
27614,Paulo Londra,El Salvador,5,2019-09,5
27615,"J Balvin, Bad Bunny",El Salvador,5,2019-09,6
27616,Manuel Turizo,El Salvador,4,2019-09,7
27617,Ariana Grande,El Salvador,4,2019-09,8
27618,Sam Smith,El Salvador,4,2019-09,9
27619,Ed Sheeran,El Salvador,4,2019-09,10
27620,Bad Bunny,El Salvador,24,2020-11,1
27621,BTS,El Salvador,13,2020-11,2
27622,Christian Nodal,El Salvador,8,2020-11,3
27623,Camilo,El Salvador,4,2020-11,4
27624,BLACKPINK,El Salvador,4,2020-11,5
27625,Maluma,El Salvador,4,2020-11,6
27626,J Balvin,El Salvador,4,2020-11,7
27627,Ariana Grande,El Salvador,3,2020-11,8
27628,Harry Styles,El Salvador,3,2020-11,9
27629,Dua Lipa,El Salvador,3,2020-11,10
27630,Bad Bunny,El Salvador,14,2021-09,1
27631,J Balvin,El Salvador,8,2021-09,2
27632,Drake,El Salvador,7,2021-09,3
27633,Rauw Alejandro,El Salvador,7,2021-09,4
27634,Olivia Rodrigo,El Salvador,7,2021-09,5
27635,Christian Nodal,El Salvador,5,2021-09,6
27636,BTS,El Salvador,5,2021-09,7
27637,KAROL G,El Salvador,4,2021-09,8
27638,Doja Cat,El Salvador,4,2021-09,9
27639,Lil Nas X,El Salvador,3,2021-09,10
27640,Bad Bunny,El Salvador,16,2021-10,1
27641,Rauw Alejandro,El Salvador,7,2021-10,2
27642,Adele,El Salvador,5,2021-10,3
27643,Christian Nodal,El Salvador,4,2021-10,4
27644,Olivia Rodrigo,El Salvador,4,2021-10,5
27645,Doja Cat,El Salvador,4,2021-10,6
27646,KAROL G,El Salvador,4,2021-10,7
27647,Sech,El Salvador,3,2021-10,8
27648,Don Omar,El Salvador,3,2021-10,9
27649,Coldplay,El Salvador,3,2021-10,10
27650,Kendrick Lamar,Estonia,14,2017-04,1
27651,Reket,Estonia,7,2017-04,2
27652,Ed Sheeran,Estonia,5,2017-04,3
27653,The Chainsmokers,Estonia,5,2017-04,4
27654,"Calvin Harris, Funk Wav",Estonia,2,2017-04,5
27655,Future,Estonia,2,2017-04,6
27656,"The Weeknd, Daft Punk",Estonia,2,2017-04,7
27657,Clean Bandit,Estonia,2,2017-04,8
27658,Imagine Dragons,Estonia,2,2017-04,9
27659,"Burak Yeter, Danelle Sandoval",Estonia,1,2017-04,10
27660,Taylor Swift,Estonia,2,2017-09,1
27661,P!nk,Estonia,2,2017-09,2
27662,Imagine Dragons,Estonia,2,2017-09,3
27663,Macklemore,Estonia,2,2017-09,4
27664,Niall Horan,Estonia,2,2017-09,5
27665,Avicii,Estonia,2,2017-09,6
27666,Ed Sheeran,Estonia,2,2017-09,7
27667,"J Balvin, Willy William",Estonia,2,2017-09,8
27668,"Robin Schulz, James Blunt",Estonia,1,2017-09,9
27669,"The Chainsmokers, Coldplay",Estonia,1,2017-09,10
27670,Ariana Grande,Estonia,13,2019-02,1
27671,XXXTENTACION,Estonia,3,2019-02,2
27672,Billie Eilish,Estonia,3,2019-02,3
27673,nublu,Estonia,3,2019-02,4
27674,Lil Pump,Estonia,3,2019-02,5
27675,Post Malone,Estonia,3,2019-02,6
27676,benny blanco,Estonia,2,2019-02,7
27677,Queen,Estonia,2,2019-02,8
27678,5 Seconds of Summer,Estonia,2,2019-02,9
27679,Juice WRLD,Estonia,2,2019-02,10
27680,Post Malone,Estonia,16,2019-09,1
27681,nublu,Estonia,5,2019-09,2
27682,Billie Eilish,Estonia,4,2019-09,3
27683,Lana Del Rey,Estonia,3,2019-09,4
27684,OneRepublic,Estonia,3,2019-09,5
27685,Ed Sheeran,Estonia,3,2019-09,6
27686,Ariana Grande,Estonia,3,2019-09,7
27687,Taylor Swift,Estonia,3,2019-09,8
27688,Doc Ketamer,Estonia,3,2019-09,9
27689,SAINt JHN,Estonia,3,2019-09,10
27690,Drake,Estonia,12,2020-05,1
27691,KSI,Estonia,12,2020-05,2
27692,Lady Gaga,Estonia,12,2020-05,3
27693,Agust D,Estonia,7,2020-05,4
27694,nublu,Estonia,4,2020-05,5
27695,Juice WRLD,Estonia,3,2020-05,6
27696,Dua Lipa,Estonia,3,2020-05,7
27697,Harry Styles,Estonia,3,2020-05,8
27698,Doja Cat,Estonia,3,2020-05,9
27699,The Weeknd,Estonia,3,2020-05,10
27700,Joji,Estonia,12,2020-09,1
27701,Pluuto,Estonia,8,2020-09,2
27702,Machine Gun Kelly,Estonia,7,2020-09,3
27703,Travis Scott,Estonia,5,2020-09,4
27704,Pop Smoke,Estonia,5,2020-09,5
27705,Juice WRLD,Estonia,5,2020-09,6
27706,nublu,Estonia,4,2020-09,7
27707,DJ Khaled,Estonia,2,2020-09,8
27708,The Weeknd,Estonia,2,2020-09,9
27709,Big Sean,Estonia,2,2020-09,10
27710,Kanye West,Estonia,22,2021-09,1
27711,Drake,Estonia,18,2021-09,2
27712,Lil Nas X,Estonia,15,2021-09,3
27713,Måneskin,Estonia,5,2021-09,4
27714,Doja Cat,Estonia,5,2021-09,5
27715,The Weeknd,Estonia,4,2021-09,6
27716,5MIINUST,Estonia,4,2021-09,7
27717,ABBA,Estonia,3,2021-09,8
27718,Billie Eilish,Estonia,3,2021-09,9
27719,NOËP,Estonia,2,2021-09,10
27720,JVG,Finland,9,2017-01,1
27721,Ed Sheeran,Finland,7,2017-01,2
27722,Mikael Gabriel,Finland,6,2017-01,3
27723,Sia,Finland,6,2017-01,4
27724,SANNI,Finland,5,2017-01,5
27725,Haloo Helsinki!,Finland,5,2017-01,6
27726,Arttu Lindeman,Finland,4,2017-01,7
27727,Roope Salminen & Koirat,Finland,4,2017-01,8
27728,Zara Larsson,Finland,4,2017-01,9
27729,Antti Tuisku,Finland,4,2017-01,10
27730,Harry Styles,Finland,10,2017-05,1
27731,Nikke Ankara,Finland,10,2017-05,2
27732,JVG,Finland,9,2017-05,3
27733,Laura Voutilainen,Finland,8,2017-05,4
27734,Robin,Finland,7,2017-05,5
27735,Kendrick Lamar,Finland,5,2017-05,6
27736,Olli Lindholm,Finland,5,2017-05,7
27737,Petra,Finland,5,2017-05,8
27738,Bruno Mars,Finland,5,2017-05,9
27739,Sunrise Avenue,Finland,5,2017-05,10
27740,Cheek,Finland,22,2017-11,1
27741,JVG,Finland,10,2017-11,2
27742,Marcus & Martinus,Finland,8,2017-11,3
27743,Sam Smith,Finland,7,2017-11,4
27744,Jenni Vartiainen,Finland,6,2017-11,5
27745,Cledos,Finland,6,2017-11,6
27746,Juha Tapio,Finland,6,2017-11,7
27747,SANNI,Finland,6,2017-11,8
27748,Antti Tuisku,Finland,6,2017-11,9
27749,Kaija Koo,Finland,6,2017-11,10
27750,Cheek,Finland,35,2018-08,1
27751,Travis Scott,Finland,18,2018-08,2
27752,Ariana Grande,Finland,15,2018-08,3
27753,Eminem,Finland,13,2018-08,4
27754,Anna Puu,Finland,11,2018-08,5
27755,XXXTENTACION,Finland,8,2018-08,6
27756,JVG,Finland,7,2018-08,7
27757,Post Malone,Finland,6,2018-08,8
27758,Drake,Finland,5,2018-08,9
27759,$uicideboy$,Finland,5,2018-08,10
27760,JVG,Finland,17,2019-06,1
27761,SANNI,Finland,15,2019-06,2
27762,Avicii,Finland,13,2019-06,3
27763,Billie Eilish,Finland,8,2019-06,4
27764,Gettomasa,Finland,7,2019-06,5
27765,Rammstein,Finland,6,2019-06,6
27766,Apulanta,Finland,5,2019-06,7
27767,Petri Nygård,Finland,5,2019-06,8
27768,Haloo Helsinki!,Finland,4,2019-06,9
27769,Ed Sheeran,Finland,4,2019-06,10
27770,Michael Bublé,Finland,16,2019-12,1
27771,JVG,Finland,14,2019-12,2
27772,Juice WRLD,Finland,13,2019-12,3
27773,Harry Styles,Finland,12,2019-12,4
27774,Lauri Tähkä,Finland,10,2019-12,5
27775,Antti Tuisku,Finland,10,2019-12,6
27776,Billie Eilish,Finland,8,2019-12,7
27777,Suvi Teräsniska,Finland,7,2019-12,8
27778,Ariana Grande,Finland,6,2019-12,9
27779,Post Malone,Finland,6,2019-12,10
27780,Lady Gaga,Finland,16,2020-05,1
27781,JVG,Finland,12,2020-05,2
27782,ALMA,Finland,11,2020-05,3
27783,Lauri Haav,Finland,10,2020-05,4
27784,Ruusut,Finland,10,2020-05,5
27785,Ava Max,Finland,5,2020-05,6
27786,Juice WRLD,Finland,5,2020-05,7
27787,Billie Eilish,Finland,5,2020-05,8
27788,Pyhimys,Finland,5,2020-05,9
27789,Lauri Tähkä,Finland,4,2020-05,10
27790,ibe,Finland,11,2020-09,1
27791,william,Finland,11,2020-09,2
27792,BEHM,Finland,10,2020-09,3
27793,Pop Smoke,Finland,9,2020-09,4
27794,Evelina,Finland,8,2020-09,5
27795,Machine Gun Kelly,Finland,7,2020-09,6
27796,Ilta,Finland,6,2020-09,7
27797,Gettomasa,Finland,6,2020-09,8
27798,Ava Max,Finland,6,2020-09,9
27799,JVG,Finland,5,2020-09,10
27800,Keko Salata,Finland,16,2021-03,1
27801,Justin Bieber,Finland,15,2021-03,2
27802,Stam1na,Finland,10,2021-03,3
27803,Antti Tuisku,Finland,7,2021-03,4
27804,BEHM,Finland,6,2021-03,5
27805,Pop Smoke,Finland,6,2021-03,6
27806,Gasellit,Finland,5,2021-03,7
27807,Lauri Tähkä,Finland,4,2021-03,8
27808,Juice WRLD,Finland,4,2021-03,9
27809,The Weeknd,Finland,4,2021-03,10
27810,Kaija Koo,Finland,13,2021-04,1
27811,MELO,Finland,12,2021-04,2
27812,BEHM,Finland,6,2021-04,3
27813,JVG,Finland,5,2021-04,4
27814,Justin Bieber,Finland,5,2021-04,5
27815,Lauri Tähkä,Finland,4,2021-04,6
27816,Eminem,Finland,4,2021-04,7
27817,Keko Salata,Finland,4,2021-04,8
27818,DMX,Finland,4,2021-04,9
27819,Gasellit,Finland,4,2021-04,10
27820,Djadja & Dinaz,France,18,2017-03,1
27821,Ed Sheeran,France,18,2017-03,2
27822,Lacrim,France,14,2017-03,3
27823,PNL,France,14,2017-03,4
27824,Jul,France,13,2017-03,5
27825,Drake,France,13,2017-03,6
27826,Booba,France,8,2017-03,7
27827,Deen Burbigo,France,7,2017-03,8
27828,Rim'K,France,6,2017-03,9
27829,Nekfeu,France,5,2017-03,10
27830,Vald,France,15,2018-02,1
27831,Orelsan,France,12,2018-02,2
27832,YL,France,12,2018-02,3
27833,Lorenzo,France,11,2018-02,4
27834,"Roméo Elvis, Le Motel",France,10,2018-02,5
27835,Booba,France,10,2018-02,6
27836,Lartiste,France,9,2018-02,7
27837,Sofiane,France,9,2018-02,8
27838,Damso,France,8,2018-02,9
27839,Moha La Squale,France,7,2018-02,10
27840,Ninho,France,18,2018-04,1
27841,Avicii,France,16,2018-04,2
27842,Djadja & Dinaz,France,16,2018-04,3
27843,GIMS,France,16,2018-04,4
27844,Timal,France,15,2018-04,5
27845,Post Malone,France,14,2018-04,6
27846,Lefa,France,12,2018-04,7
27847,Niro,France,12,2018-04,8
27848,Damso,France,9,2018-04,9
27849,Marwa Loud,France,9,2018-04,10
27850,Columbine,France,18,2018-10,1
27851,RK,France,18,2018-10,2
27852,Charles Aznavour,France,18,2018-10,3
27853,SCH,France,17,2018-10,4
27854,Koba LaD,France,15,2018-10,5
27855,PLK,France,15,2018-10,6
27856,Angèle,France,11,2018-10,7
27857,Johnny Hallyday,France,11,2018-10,8
27858,Sadek,France,11,2018-10,9
27859,Dadju,France,10,2018-10,10
27860,Dadju,France,22,2019-11,1
27861,SCH,France,18,2019-11,2
27862,Angèle,France,17,2019-11,3
27863,Gradur,France,15,2019-11,4
27864,Djadja & Dinaz,France,15,2019-11,5
27865,Alkpote,France,11,2019-11,6
27866,Dinos,France,11,2019-11,7
27867,Vald,France,10,2019-11,8
27868,Ninho,France,8,2019-11,9
27869,Aya Nakamura,France,7,2019-11,10
27870,Josman,France,24,2020-03,1
27871,Ninho,France,23,2020-03,2
27872,Timal,France,17,2020-03,3
27873,Laylow,France,16,2020-03,4
27874,Kaza,France,15,2020-03,5
27875,Sneazzy,France,14,2020-03,6
27876,The Weeknd,France,14,2020-03,7
27877,Bosh,France,12,2020-03,8
27878,Soolking,France,11,2020-03,9
27879,Kekra,France,10,2020-03,10
27880,PLK,France,21,2020-09,1
27881,Damso,France,20,2020-09,2
27882,Leto,France,17,2020-09,3
27883,Kaaris,France,13,2020-09,4
27884,Wejdene,France,12,2020-09,5
27885,Squeezie,France,12,2020-09,6
27886,Freeze corleone,France,8,2020-09,7
27887,Gambi,France,5,2020-09,8
27888,Ninho,France,5,2020-09,9
27889,Pop Smoke,France,5,2020-09,10
27890,Tayc,France,18,2020-12,1
27891,GIMS,France,17,2020-12,2
27892,Kid Cudi,France,13,2020-12,3
27893,Landy,France,13,2020-12,4
27894,Jul,France,13,2020-12,5
27895,Zola,France,12,2020-12,6
27896,"Heuss L'enfoiré, Vald",France,12,2020-12,7
27897,Aya Nakamura,France,12,2020-12,8
27898,Ninho,France,10,2020-12,9
27899,1PLIKÉ140,France,10,2020-12,10
27900,Luciano,Germany,12,2017-11,1
27901,Veysel,Germany,10,2017-11,2
27902,Sam Smith,Germany,6,2017-11,3
27903,Sa4,Germany,5,2017-11,4
27904,Prinz Pi,Germany,4,2017-11,5
27905,Miami Yacine,Germany,4,2017-11,6
27906,Avicii,Germany,3,2017-11,7
27907,Ed Sheeran,Germany,3,2017-11,8
27908,Lil Peep,Germany,3,2017-11,9
27909,Post Malone,Germany,3,2017-11,10
27910,Farid Bang,Germany,14,2021-11,1
27911,Adele,Germany,13,2021-11,2
27912,Shirin David,Germany,13,2021-11,3
27913,ABBA,Germany,12,2021-11,4
27914,Ed Sheeran,Germany,11,2021-11,5
27915,Rolf Zuckowski,Germany,10,2021-11,6
27916,Michael Bublé,Germany,7,2021-11,7
27917,KALIM,Germany,7,2021-11,8
27918,Taylor Swift,Germany,7,2021-11,9
27919,Apache 207,Germany,7,2021-11,10
27920,Migos,Global,12,2017-01,1
27921,Ed Sheeran,Global,10,2017-01,2
27922,The xx,Global,10,2017-01,3
27923,The Weeknd,Global,9,2017-01,4
27924,J. Cole,Global,6,2017-01,5
27925,Zara Larsson,Global,4,2017-01,6
27926,John Mayer,Global,4,2017-01,7
27927,Adele,Global,4,2017-01,8
27928,Major Lazer,Global,4,2017-01,9
27929,Coldplay,Global,4,2017-01,10
27930,Future,Global,21,2017-02,1
27931,Ed Sheeran,Global,10,2017-02,2
27932,Big Sean,Global,8,2017-02,3
27933,Adele,Global,6,2017-02,4
27934,Migos,Global,6,2017-02,5
27935,Lady Gaga,Global,4,2017-02,6
27936,Zara Larsson,Global,4,2017-02,7
27937,Chance the Rapper,Global,4,2017-02,8
27938,Major Lazer,Global,4,2017-02,9
27939,The Weeknd,Global,4,2017-02,10
27940,Migos,Global,18,2018-01,1
27941,Camila Cabello,Global,10,2018-01,2
27942,Ed Sheeran,Global,9,2018-01,3
27943,Sfera Ebbasta,Global,7,2018-01,4
27944,Kendrick Lamar,Global,5,2018-01,5
27945,Charlie Puth,Global,4,2018-01,6
27946,Post Malone,Global,4,2018-01,7
27947,Ozuna,Global,4,2018-01,8
27948,The Cranberries,Global,4,2018-01,9
27949,XXXTENTACION,Global,4,2018-01,10
27950,Eminem,Global,18,2020-01,1
27951,Billie Eilish,Global,13,2020-01,2
27952,Selena Gomez,Global,13,2020-01,3
27953,Mac Miller,Global,12,2020-01,4
27954,Halsey,Global,8,2020-01,5
27955,Ed Sheeran,Global,6,2020-01,6
27956,Juice WRLD,Global,6,2020-01,7
27957,Post Malone,Global,6,2020-01,8
27958,Roddy Ricch,Global,5,2020-01,9
27959,DaBaby,Global,4,2020-01,10
27960,Future,Global,15,2020-05,1
27961,Lady Gaga,Global,15,2020-05,2
27962,Drake,Global,15,2020-05,3
27963,Gunna,Global,14,2020-05,4
27964,NAV,Global,9,2020-05,5
27965,Bad Bunny,Global,9,2020-05,6
27966,Kehlani,Global,7,2020-05,7
27967,Agust D,Global,7,2020-05,8
27968,Post Malone,Global,6,2020-05,9
27969,Billie Eilish,Global,6,2020-05,10
27970,Justin Bieber,Global,17,2021-03,1
27971,Pop Smoke,Global,6,2021-03,2
27972,Juice WRLD,Global,6,2021-03,3
27973,Lana Del Rey,Global,6,2021-03,4
27974,Drake,Global,5,2021-03,5
27975,Billie Eilish,Global,5,2021-03,6
27976,Taylor Swift,Global,5,2021-03,7
27977,Dua Lipa,Global,5,2021-03,8
27978,Ed Sheeran,Global,5,2021-03,9
27979,Harry Styles,Global,5,2021-03,10
27980,Taylor Swift,Global,27,2021-04,1
27981,Damso,Global,9,2021-04,2
27982,Justin Bieber,Global,9,2021-04,3
27983,DJ Khaled,Global,7,2021-04,4
27984,Billie Eilish,Global,6,2021-04,5
27985,Juice WRLD,Global,5,2021-04,6
27986,The Weeknd,Global,5,2021-04,7
27987,Dua Lipa,Global,5,2021-04,8
27988,Ariana Grande,Global,4,2021-04,9
27989,Pop Smoke,Global,4,2021-04,10
27990,Eminem,Greece,18,2017-12,1
27991,"Huncho Jack, Travis Scott, Quavo",Greece,10,2017-12,2
27992,Ed Sheeran,Greece,5,2017-12,3
27993,Bing Crosby,Greece,5,2017-12,4
27994,Camila Cabello,Greece,4,2017-12,5
27995,Michael Bublé,Greece,4,2017-12,6
27996,Sam Smith,Greece,3,2017-12,7
27997,Frank Sinatra,Greece,3,2017-12,8
27998,Imagine Dragons,Greece,3,2017-12,9
27999,Taylor Swift,Greece,3,2017-12,10
28000,Eminem,Greece,15,2018-09,1
28001,Lil Wayne,Greece,12,2018-09,2
28002,Logic,Greece,10,2018-09,3
28003,Ariana Grande,Greece,9,2018-09,4
28004,XXXTENTACION,Greece,7,2018-09,5
28005,Drake,Greece,7,2018-09,6
28006,Travis Scott,Greece,5,2018-09,7
28007,Imagine Dragons,Greece,4,2018-09,8
28008,Post Malone,Greece,3,2018-09,9
28009,Dua Lipa,Greece,3,2018-09,10
28010,Billie Eilish,Greece,12,2019-06,1
28011,TOQUEL,Greece,9,2019-06,2
28012,Light,Greece,8,2019-06,3
28013,Eleni Foureira,Greece,7,2019-06,4
28014,Sin Boy,Greece,7,2019-06,5
28015,Fy,Greece,6,2019-06,6
28016,LEX,Greece,5,2019-06,7
28017,Saske,Greece,5,2019-06,8
28018,Ariana Grande,Greece,4,2019-06,9
28019,XXXTENTACION,Greece,4,2019-06,10
28020,Taylor Swift,Greece,17,2019-08,1
28021,Lana Del Rey,Greece,14,2019-08,2
28022,Light,Greece,10,2019-08,3
28023,Slipknot,Greece,10,2019-08,4
28024,TOOL,Greece,9,2019-08,5
28025,TOQUEL,Greece,8,2019-08,6
28026,Sin Boy,Greece,7,2019-08,7
28027,Billie Eilish,Greece,7,2019-08,8
28028,iLLEOo,Greece,6,2019-08,9
28029,Fy,Greece,6,2019-08,10
28030,Fy,Greece,18,2020-02,1
28031,BTS,Greece,16,2020-02,2
28032,Justin Bieber,Greece,15,2020-02,3
28033,Billie Eilish,Greece,11,2020-02,4
28034,VLOSPA,Greece,10,2020-02,5
28035,Eminem,Greece,7,2020-02,6
28036,Light,Greece,6,2020-02,7
28037,Tzamal,Greece,6,2020-02,8
28038,TOQUEL,Greece,6,2020-02,9
28039,Saske,Greece,5,2020-02,10
28040,"Light, Hawk",Greece,9,2021-04,1
28041,Pop Smoke,Greece,8,2021-04,2
28042,SNIK,Greece,7,2021-04,3
28043,Thug Slime,Greece,6,2021-04,4
28044,Immune,Greece,6,2021-04,5
28045,"Mad Clip, Strat, BeTaf Beats",Greece,5,2021-04,6
28046,Dani Gambino,Greece,5,2021-04,7
28047,Dua Lipa,Greece,4,2021-04,8
28048,Mad Clip,Greece,4,2021-04,9
28049,DJ Khaled,Greece,4,2021-04,10
28050,Nicky Jam,Guatemala,8,2017-01,1
28051,Maluma,Guatemala,6,2017-01,2
28052,Marc Anthony,Guatemala,4,2017-01,3
28053,Ed Sheeran,Guatemala,4,2017-01,4
28054,Banda MS de Sergio Lizárraga,Guatemala,4,2017-01,5
28055,Reik,Guatemala,3,2017-01,6
28056,Adele,Guatemala,3,2017-01,7
28057,Los Ángeles Azules,Guatemala,3,2017-01,8
28058,Cosculluela,Guatemala,3,2017-01,9
28059,Shawn Mendes,Guatemala,3,2017-01,10
28060,Ozuna,Guatemala,13,2017-08,1
28061,Ricardo Arjona,Guatemala,6,2017-08,2
28062,Ed Sheeran,Guatemala,5,2017-08,3
28063,Major Lazer,Guatemala,4,2017-08,4
28064,Nicky Jam,Guatemala,4,2017-08,5
28065,Twenty One Pilots,Guatemala,3,2017-08,6
28066,Romeo Santos,Guatemala,3,2017-08,7
28067,Bad Bunny,Guatemala,3,2017-08,8
28068,Maluma,Guatemala,3,2017-08,9
28069,Shakira,Guatemala,3,2017-08,10
28070,Ozuna,Guatemala,7,2017-10,1
28071,Yandel,Guatemala,6,2017-10,2
28072,Ricardo Arjona,Guatemala,5,2017-10,3
28073,Nicky Jam,Guatemala,4,2017-10,4
28074,Ed Sheeran,Guatemala,4,2017-10,5
28075,Bad Bunny,Guatemala,4,2017-10,6
28076,Reik,Guatemala,4,2017-10,7
28077,Banda MS de Sergio Lizárraga,Guatemala,3,2017-10,8
28078,Taylor Swift,Guatemala,3,2017-10,9
28079,Charlie Puth,Guatemala,3,2017-10,10
28080,Ozuna,Guatemala,7,2017-11,1
28081,Sam Smith,Guatemala,7,2017-11,2
28082,Yandel,Guatemala,6,2017-11,3
28083,Maluma,Guatemala,5,2017-11,4
28084,Bad Bunny,Guatemala,4,2017-11,5
28085,Ed Sheeran,Guatemala,4,2017-11,6
28086,Nicky Jam,Guatemala,4,2017-11,7
28087,Piso 21,Guatemala,4,2017-11,8
28088,Shakira,Guatemala,3,2017-11,9
28089,Kygo,Guatemala,3,2017-11,10
28090,Camila Cabello,Guatemala,10,2018-01,1
28091,Ozuna,Guatemala,8,2018-01,2
28092,Banda MS de Sergio Lizárraga,Guatemala,6,2018-01,3
28093,Bad Bunny,Guatemala,6,2018-01,4
28094,Yandel,Guatemala,5,2018-01,5
