,artist,region,date,n
357,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Argentina,2018,67
358,"Dynoro, Gigi D'Agostino",Belgium,2018,67
359,"Sech, Darell",Uruguay,2019,67
360,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Chile,2019,67
361,"Luis Fonsi, Daddy Yankee, Justin Bieber",Australia,2017,67
362,"J Balvin, Willy William",Uruguay,2017,67
363,"Luis Fonsi, Daddy Yankee, Justin Bieber",Germany,2017,67
364,Maluma,Dominican Republic,2020,67
365,The Kid LAROI,New Zealand,2021,67
366,Lil Nas X,Estonia,2021,67
367,Drake,Romania,2018,66
368,"Becky G, Paulo Londra",Argentina,2018,66
369,Tones And I,Latvia,2019,66
370,The Weeknd,Norway,2020,66
371,"J Balvin, Willy William",Switzerland,2017,66
372,Måneskin,Bulgaria,2021,66
373,Måneskin,Estonia,2021,66
374,Coez,Italy,2017,66
375,The Kid LAROI,Belgium,2021,66
376,OBOY,France,2021,66
377,"Bad Bunny, Jowell & Randy, Ñengo Flow",Chile,2020,65
378,DaBaby,United States,2020,65
379,"DAOKO, Kenshi Yonezu",Japan,2018,65
380,"Sech, Darell",Colombia,2019,65
381,"Shawn Mendes, Camila Cabello",Bulgaria,2019,65
382,Tones And I,Romania,2019,65
383,Tones And I,Sweden,2019,65
384,Gambi,France,2019,65
385,The Weeknd,Australia,2020,65
386,"Luis Fonsi, Daddy Yankee, Justin Bieber",New Zealand,2017,65
387,BTS,Malaysia,2020,65
388,Major Lazer,Brazil,2017,65
389,Maluma,Argentina,2017,65
390,Maluma,Uruguay,2017,65
391,24kGoldn,Hungary,2020,65
392,SLAVA MARLOW,Russia,2020,65
393,Yuri NR5,Portugal,2020,65
394,Raviv Kaner,Israel,2020,65
395,"Post Malone, 21 Savage",Belgium,2017,65
396,"Natti Natasha, Ozuna",Argentina,2017,65
397,KAVVO,Costa Rica,2021,65
398,"Lil Peep, XXXTENTACION",Latvia,2018,64
399,"Sech, Darell",El Salvador,2019,64
400,"Daddy Yankee, Snow",Guatemala,2019,64
