,title,artist,region,year,stream,Rank
338,Better Now,Post Malone,Ireland,2018,6318579,9
339,Paradise,George Ezra,Ireland,2018,6179145,10
340,Blinding Lights,The Weeknd,Israel,2020,4289134,1
341,Dance Monkey,Tones And I,Israel,2020,3933590,2
342,אלוף העולם,Hanan Ben Ari,Israel,2020,3771887,3
343,מסע,Eliad,Israel,2020,3641510,4
344,שלמים,Idan Rafael Haviv,Israel,2020,3483290,5
345,נחכה לך,"Nathan Goshen, Ishay Ribo",Israel,2020,3474097,6
346,אם תרצי,Hanan Ben Ari,Israel,2020,3351407,7
347,לשוב הביתה,Ishay Ribo,Israel,2020,3045880,8
348,את חסרה לי,Eden Hason,Israel,2020,3003936,9
349,The Box,Roddy Ricch,Israel,2020,2818429,10
350,Pretender,Official HIGE DANdism,Japan,2019,28034004,1
351,マリーゴールド,Aimyon,Japan,2019,25396442,2
352,白日,King Gnu,Japan,2019,19816444,3
353,君はロックを聴かない,Aimyon,Japan,2019,17407774,4
354,宿命,Official HIGE DANdism,Japan,2019,17256540,5
355,ノーダウト,Official HIGE DANdism,Japan,2019,16813628,6
356,今夜このまま,Aimyon,Japan,2019,16180212,7
357,まちがいさがし,Masaki Suda,Japan,2019,13844012,8
358,さよならエレジー,Masaki Suda,Japan,2019,13836243,9
359,HANABI,Mr.Children,Japan,2019,13241958,10
360,ドライフラワー,優里,Japan,2021,82743813,1
361,Dynamite,BTS,Japan,2021,82176915,2
362,夜に駆ける,YOASOBI,Japan,2021,74757163,3
363,怪物,YOASOBI,Japan,2021,64587118,4
364,群青,YOASOBI,Japan,2021,62470643,5
365,勿忘,Awesome City Club,Japan,2021,57510760,6
366,Butter,BTS,Japan,2021,53299208,7
367,うっせぇわ,Ado,Japan,2021,50778416,8
368,"Stand by me, Stand by you.",HIRAIDAI,Japan,2021,48861803,9
369,炎,LiSA,Japan,2021,48376575,10
370,SAD!,XXXTENTACION,Latvia,2018,693782,1
371,Nevermind,Dennis Lloyd,Latvia,2018,633038,2
372,Better Now,Post Malone,Latvia,2018,617760,3
373,In My Mind,"Dynoro, Gigi D'Agostino",Latvia,2018,587310,4
