,title,artist,date,n
195,Si Veo a Tu Mamá,Bad Bunny,2020-03,113
196,Me Rehúso,Danny Ocean,2017-06,113
197,Sensualidad,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",2017-11,112
198,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-08,112
199,FRIENDS,"Marshmello, Anne-Marie",2018-04,110
200,Pareja Del Año,"Sebastian Yatra, Myke Towers",2021-05,109
201,Call Out My Name,The Weeknd,2018-04,108
202,Dynamite,BTS,2020-08,108
203,Therefore I Am,Billie Eilish,2020-11,108
204,All I Want for Christmas Is You,Mariah Carey,2019-12,107
205,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2017-07,107
206,Last Christmas,Wham!,2020-12,107
207,River (feat. Ed Sheeran),Eminem,2017-12,107
208,ZITTI E BUONI,Måneskin,2021-05,106
209,Otro Trago,"Sech, Darell",2019-07,105
210,everything i wanted,Billie Eilish,2019-11,105
211,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-05,105
212,Fiel,"Los Legendarios, Wisin, Jhay Cortez",2021-05,103
213,Girls Like You (feat. Cardi B),Maroon 5,2018-07,102
214,Adan y Eva,Paulo Londra,2019-01,102
215,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2020-06,101
216,STAY (with Justin Bieber),The Kid LAROI,2021-10,101
217,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020-05,99
218,Blinding Lights,The Weeknd,2020-01,99
219,Bandido,"Myke Towers, Juhn",2021-01,99
220,Todo De Ti,Rauw Alejandro,2021-05,99
221,Roses - Imanbek Remix,SAINt JHN,2020-05,98
222,Kill This Love,BLACKPINK,2019-04,98
223,Boy With Luv (feat. Halsey),BTS,2019-04,97
224,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,2017-12,96
225,Nice For What,Drake,2018-04,95
226,Favorito,Camilo,2020-05,95
227,Lucky You (feat. Joyner Lucas),Eminem,2018-09,95
228,Intentions (feat. Quavo),Justin Bieber,2020-03,95
229,Con Calma,"Daddy Yankee, Snow",2019-02,94
