,title,artist,region,date,n
209,Shape of You,Ed Sheeran,Czech Republic,2017-03,31
210,Shape of You,Ed Sheeran,Turkey,2017-03,31
211,Despacito (Featuring Daddy Yankee),Luis Fonsi,El Salvador,2017-03,31
212,Shape of You,Ed Sheeran,Philippines,2017-03,31
213,Mi Gente,"J Balvin, Willy William",Uruguay,2017-08,31
214,Despacito (Featuring Daddy Yankee),Luis Fonsi,Argentina,2017-03,31
215,More Than You Know,Axwell /\ Ingrosso,Germany,2017-08,31
216,Shape of You,Ed Sheeran,Austria,2017-03,31
217,Ég Vil Það,"Chase Anthony, JóiPé",Iceland,2017-08,31
218,Despacito (Featuring Daddy Yankee),Luis Fonsi,Chile,2017-03,31
219,Despacito (Featuring Daddy Yankee),Luis Fonsi,Honduras,2017-03,31
220,Shape of You,Ed Sheeran,Greece,2017-03,31
221,Mi Gente,"J Balvin, Willy William",Panama,2017-07,31
222,Una Lady Como Tú,Manuel Turizo,Paraguay,2017-07,31
223,Shape of You,Ed Sheeran,Japan,2017-07,31
224,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Philippines,2017-07,31
225,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Hong Kong,2017-07,31
226,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Canada,2017-07,31
227,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Ireland,2017-07,31
228,Thunder,Imagine Dragons,Latvia,2017-07,31
229,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Singapore,2017-07,31
230,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Indonesia,2017-07,31
231,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Portugal,2017-07,31
232,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Norway,2017-07,31
233,Hawái,Maluma,Peru,2020-10,31
234,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Sweden,2020-07,31
235,Breaking Me,"Topic, A7S",Hungary,2020-08,31
236,وناسه,DJ-MK,Saudi Arabia,2020-07,31
237,Yonaguni,Bad Bunny,Nicaragua,2021-07,31
238,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Chile,2020-07,31
239,Yonaguni,Bad Bunny,El Salvador,2021-07,31
240,Meu Pedaço de Pecado,João Gomes,Brazil,2021-07,31
241,How You Like That,BLACKPINK,Malaysia,2020-07,31
242,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",New Zealand,2020-07,31
243,وناسه,DJ-MK,Saudi Arabia,2020-08,31
244,Hawái,Maluma,Bolivia,2020-10,31
245,How You Like That,BLACKPINK,Singapore,2020-07,31
246,Beggin',Måneskin,Romania,2021-07,31
247,Yonaguni,Bad Bunny,Colombia,2021-07,31
248,Mood (feat. iann dior),24kGoldn,Hungary,2020-10,31
249,Hawái,Maluma,Mexico,2020-10,31
250,Oh Juliana,Niack,Brazil,2020-08,31
251,Beggin',Måneskin,Belgium,2021-07,31
252,夜に駆ける,YOASOBI,Japan,2020-07,31
253,Mind1,"Azahriah, DESH",Hungary,2021-07,31
254,Blinding Lights,The Weeknd,Czech Republic,2020-07,31
255,Penelope (feat. Clever),william,Finland,2020-08,31
256,Todo De Ti,Rauw Alejandro,Mexico,2021-07,31
257,Bad Habits,Ed Sheeran,Ireland,2021-07,31
258,Beggin',Måneskin,Latvia,2021-07,31
259,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Mexico,2020-07,31
260,Hawái,Maluma,Argentina,2020-10,31
261,A Un Passo Dalla Luna,"Rocco Hunt, Ana Mena",Italy,2020-08,31
262,Mood (feat. iann dior),24kGoldn,New Zealand,2020-10,31
263,Yonaguni,Bad Bunny,Costa Rica,2021-07,31
264,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,Taiwan,2020-10,31
265,Watermelon Sugar,Harry Styles,Lithuania,2020-07,31
266,Yonaguni,Bad Bunny,Ecuador,2021-07,31
267,Yonaguni,Bad Bunny,Honduras,2021-07,31
268,DÁKITI,"Bad Bunny, Jhay Cortez",Dominican Republic,2020-12,31
269,DÁKITI,"Bad Bunny, Jhay Cortez",Ecuador,2020-12,31
270,DÁKITI,"Bad Bunny, Jhay Cortez",El Salvador,2021-01,31
271,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,Vietnam,2021-01,31
272,DÁKITI,"Bad Bunny, Jhay Cortez",Paraguay,2020-12,31
273,Hustla,Wegz,Egypt,2020-12,31
274,DÁKITI,"Bad Bunny, Jhay Cortez",Ecuador,2021-01,31
275,DÁKITI,"Bad Bunny, Jhay Cortez",Chile,2020-12,31
276,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,Taiwan,2020-12,31
277,DÁKITI,"Bad Bunny, Jhay Cortez",Colombia,2020-12,31
278,Cristal & МОЁТ,MORGENSHTERN,Russia,2021-01,31
279,DÁKITI,"Bad Bunny, Jhay Cortez",Spain,2020-12,31
280,Hawái,Maluma,Uruguay,2020-10,31
281,DÁKITI,"Bad Bunny, Jhay Cortez",Honduras,2021-01,31
282,DÁKITI,"Bad Bunny, Jhay Cortez",Mexico,2020-12,31
283,DÁKITI,"Bad Bunny, Jhay Cortez",Costa Rica,2021-01,31
284,DÁKITI,"Bad Bunny, Jhay Cortez",Colombia,2021-01,31
285,DÁKITI,"Bad Bunny, Jhay Cortez",Guatemala,2020-12,31
286,DÁKITI,"Bad Bunny, Jhay Cortez",Guatemala,2021-01,31
287,DÁKITI,"Bad Bunny, Jhay Cortez",Panama,2020-12,31
288,DÁKITI,"Bad Bunny, Jhay Cortez",Nicaragua,2021-01,31
289,Cristal & МОЁТ,MORGENSHTERN,Ukraine,2021-01,31
290,DÁKITI,"Bad Bunny, Jhay Cortez",Bolivia,2020-12,31
291,DÁKITI,"Bad Bunny, Jhay Cortez",El Salvador,2020-12,31
292,DÁKITI,"Bad Bunny, Jhay Cortez",Honduras,2020-12,31
293,Voodoo,"Light, Hawk",Greece,2021-01,31
294,一人之境 in C major,Terence Lam,Hong Kong,2021-01,31
295,Dynamite,BTS,Japan,2020-12,31
296,DÁKITI,"Bad Bunny, Jhay Cortez",Costa Rica,2020-12,31
297,DÁKITI,"Bad Bunny, Jhay Cortez",Nicaragua,2020-12,31
298,DÁKITI,"Bad Bunny, Jhay Cortez",Nicaragua,2021-03,31
299,Astronaut In The Ocean,Masked Wolf,Czech Republic,2021-03,31
300,Krvn,UZI,Turkey,2021-05,31
301,ドライフラワー,優里,Japan,2021-03,31
302,Astronaut In The Ocean,Masked Wolf,Saudi Arabia,2021-03,31
303,rockstar,"Post Malone, 21 Savage",Portugal,2017-10,31
304,rockstar,"Post Malone, 21 Savage",United States,2017-10,31
305,Too Good At Goodbyes - Edit,Sam Smith,Philippines,2017-10,31
306,rockstar,"Post Malone, 21 Savage",Global,2017-10,31
307,rockstar,"Post Malone, 21 Savage",Switzerland,2017-10,31
