,artist,date,n
595,"Bad Bunny, Sech",2020-03,30
596,Badshah,2020-04,30
597,"Lil Kleine, Boef",2017-07,30
598,Mata,2021-07,30
599,YOASOBI,2020-09,30
600,"BLANCO, Sfera Ebbasta",2021-07,30
601,YOASOBI,2020-08,30
602,"5MIINUST, Hendrik Sal-Saller",2020-09,30
603,Pink Sweat$,2020-12,30
604,Raviv Kaner,2020-11,30
605,"Ego, Sima, Ben Cristovao",2020-10,30
606,Justin Bieber,2020-11,30
607,LiSA,2020-11,30
608,Raviv Kaner,2020-12,30
609,Three Man Down,2021-01,30
610,Crowd Lu,2020-11,30
611,優里,2021-04,30
612,Pamungkas,2021-04,30
613,Masked Wolf,2021-04,30
614,"Jubin Nautiyal, Tanishk Bagchi, Nusrat Fateh Ali Khan, Emraan Hashmi",2021-03,30
615,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",2021-11,30
616,"Justinas Jarutis, Jessica Shy",2021-08,30
617,KAVVO,2021-10,30
618,KAVVO,2021-11,30
619,Yuuri,2021-11,30
620,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",2021-09,30
621,BTS,2021-09,30
622,NO ONE ELSE,2021-11,30
623,"zzoilo, Aitana",2021-09,30
624,OBOY,2021-09,30
625,"Selena Gomez, Marshmello",2018-01,30
626,Lil Dicky,2018-04,29
627,Ariana Grande,2020-06,29
628,Rudimental,2018-02,29
629,"Jhay Cortez, Bad Bunny",2020-05,29
630,"December Avenue, Moira Dela Torre",2018-09,29
631,Aimyon,2018-11,29
632,JVG,2019-03,29
633,Taylor Swift,2019-04,29
634,"ZAYN, Zhavia Ward",2019-06,29
635,Mahmood,2019-06,29
636,"Piso 21, Christian Nodal",2019-10,29
637,"Y2K, bbno$",2019-09,29
638,Ronnie Ferrari,2019-09,29
639,Apache 207,2019-11,29
640,The Weeknd,2019-12,29
641,tha Supreme,2019-12,29
642,Wegz,2020-04,29
643,Official HIGE DANdism,2020-02,29
644,Victor Leksell,2020-02,29
645,"Shawn Mendes, Camila Cabello",2019-12,29
646,Damso,2017-06,29
647,Anitta,2017-06,29
648,Idan Rafael Haviv,2020-09,29
649,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",2020-09,29
650,Idan Rafael Haviv,2020-08,29
651,"Noa Kirel, שחר סאול",2020-07,29
652,BRÍET,2020-11,29
653,Yuri NR5,2020-11,29
654,24kGoldn,2020-08,29
655,Afroto,2021-06,29
656,"Birnir, Herra Hnetusmjör",2017-11,29
657,"Kalash, Damso",2017-11,29
658,"Tobias Rahim, andreas odbjerg",2021-11,29
659,Maluma,2021-08,29
660,Kaleb J,2021-09,29
661,"CKay, ElGrandeToto",2021-09,29
662,Ozuna,2017-12,29
663,Marwan Moussa,2020-06,28
664,Camila Cabello,2018-02,28
665,nublu,2020-05,28
666,Mads Hansen,2018-06,28
667,"The Chainsmokers, Coldplay",2017-02,28
668,Bad Bunny,2018-07,28
669,"Herra Hnetusmjör, Ingi Bauer",2018-08,28
670,Omer Adam,2018-10,28
671,"DAOKO, Kenshi Yonezu",2018-07,28
672,MC Kevin o Chris,2019-04,28
673,Aimyon,2019-02,28
674,"Tropkillaz, J Balvin, Anitta, Mc Zaac",2019-03,28
675,Apache 207,2020-01,28
676,Red Velvet,2020-01,28
677,Matthaios,2020-01,28
678,Capital Bra,2019-03,28
679,Wegz,2020-03,28
680,Justin Bieber,2020-01,28
681,Apache 207,2019-12,28
682,Ed Sheeran,2017-08,28
683,"CKay, ElGrandeToto",2020-09,28
684,"Boef, Numidia",2020-07,28
685,Marwan Moussa,2020-07,28
686,The Weeknd,2020-08,28
687,Raviv Kaner,2021-01,28
688,"MORGENSHTERN, Eldzhey",2020-07,28
689,Joel Corry,2020-07,28
690,"Rochy RD, Myke Towers, Nicki Nicole",2021-03,28
691,優里,2021-02,28
692,"Hov1, Einár",2021-04,28
693,BTS,2021-02,28
694,Terence Lam,2021-02,28
